tree,slope,week,date_wp,cwc,time_season
2379,-0.011888372413793116,33,2022-08-18,NA,after leafout
2379,-0.011888372413793116,21,2022-05-23,0,after leafout
2379,-0.011888372413793116,19,2022-05-09,0,after leafout
2381,-0.003639575862068968,37,2022-09-15,0,after leafout
2381,-0.003639575862068968,15,2022-04-13,0,before leafout
2381,-0.003639575862068968,21,2022-05-23,0,after leafout
2381,-0.003639575862068968,33,2022-08-18,NA,after leafout
2381,-0.003639575862068968,18,2022-05-04,0.0121219,after leafout
2381,-0.003639575862068968,15,2022-04-11,0,before leafout
2381,-0.003639575862068968,17,2022-04-25,0,after leafout
2381,-0.003639575862068968,29,2022-07-19,NA,after leafout
2381,-0.003639575862068968,14,2022-04-06,0.0282273,before leafout
2381,-0.003639575862068968,14,2022-03-30,0.0282273,before leafout
2381,-0.003639575862068968,19,2022-05-09,8e-7,after leafout
2381,-0.003639575862068968,10,2022-03-08,0.0323803,before leafout
2381,-0.003639575862068968,12,2022-03-25,5.04e-5,before leafout
2382,-0.013363862068965528,15,2022-04-13,0.0123864,before leafout
2382,-0.013363862068965528,33,2022-08-18,NA,after leafout
2382,-0.013363862068965528,17,2022-04-25,0,after leafout
2382,-0.013363862068965528,14,2022-03-30,0.0552276,before leafout
2382,-0.013363862068965528,18,2022-05-04,0.0232375,after leafout
2382,-0.013363862068965528,29,2022-07-19,NA,after leafout
2382,-0.013363862068965528,15,2022-04-11,0.0123864,before leafout
2382,-0.013363862068965528,21,2022-05-23,0.0125703,after leafout
2382,-0.013363862068965528,10,2022-03-08,0.0870176,before leafout
2382,-0.013363862068965528,12,2022-03-25,0.0624256,before leafout
2382,-0.013363862068965528,19,2022-05-09,0.0080637,after leafout
2382,-0.013363862068965528,14,2022-04-06,0.0552276,before leafout
2382,-0.013363862068965528,37,2022-09-15,0,after leafout
2383,-0.00258544482758621,10,2022-03-08,0.0281803,before leafout
2383,-0.00258544482758621,12,2022-03-25,0.0249588,before leafout
2383,-0.00258544482758621,33,2022-08-18,NA,after leafout
2383,-0.00258544482758621,37,2022-09-15,0,after leafout
2383,-0.00258544482758621,14,2022-03-30,0.0562841,before leafout
2383,-0.00258544482758621,18,2022-05-04,0,after leafout
2383,-0.00258544482758621,14,2022-04-06,0.0562841,before leafout
2383,-0.00258544482758621,19,2022-05-09,0.0050637,after leafout
2383,-0.00258544482758621,17,2022-04-25,0.0104776,after leafout
2383,-0.00258544482758621,15,2022-04-11,6.546e-4,before leafout
2383,-0.00258544482758621,21,2022-05-23,0,after leafout
2383,-0.00258544482758621,29,2022-07-19,NA,after leafout
2383,-0.00258544482758621,15,2022-04-13,6.546e-4,before leafout
